pair,n_z2.0,winrate_z2.0_%,avgpnl_z2.0_%,,n_z2.5,winrate_z2.5_%,avgpnl_z2.5_%,,n_z3.0,winrate_z3.0_%,avgpnl_z3.0_%,,n_z3.5,winrate_z3.5_%,avgpnl_z3.5_%
BANKS | AXISBANK.NS/INDUSINDBK.NS,87,63.2,0.45,,49,61.2,0.58,,20,65,0.85,,10,70,2.11
BANKS | AXISBANK.NS/KOTAKBANK.NS,87,70.1,1.02,,43,65.1,0.36,,19,78.9,1.4,,5,80,1.49
BANKS | AXISBANK.NS/SBIN.NS,88,81.8,1.31,,43,81.4,1.55,,18,88.9,3.12,,6,100,4.85
BANKS | HDFCBANK.NS/AXISBANK.NS,80,76.2,1.13,,41,70.7,1.03,,18,55.6,0.84,,6,66.7,1.92
BANKS | HDFCBANK.NS/ICICIBANK.NS,78,75.6,0.96,,46,73.9,0.89,,26,76.9,1.81,,9,77.8,1.88
BANKS | HDFCBANK.NS/INDUSINDBK.NS,87,58.6,-0.1,,50,48,-0.53,,20,40,-0.47,,8,50,-0.06
BANKS | HDFCBANK.NS/KOTAKBANK.NS,81,75.3,0.95,,41,73.2,0.98,,18,83.3,1.12,,5,60,0.61
BANKS | HDFCBANK.NS/SBIN.NS,79,72.2,0.49,,41,68.3,0.26,,17,52.9,-0.55,,5,40,-0.84
BANKS | ICICIBANK.NS/AXISBANK.NS,83,67.5,0.55,,42,57.1,0.13,,14,28.6,-0.71,,6,33.3,0.19
BANKS | ICICIBANK.NS/INDUSINDBK.NS,84,57.1,0.04,,51,52.9,-0.25,,25,52,0.06,,10,40,-0.99
BANKS | ICICIBANK.NS/KOTAKBANK.NS,82,72,0.87,,41,80.5,1.29,,21,71.4,0.73,,5,80,1.58
BANKS | ICICIBANK.NS/SBIN.NS,73,74,0.55,,40,75,0.86,,21,85.7,1.61,,4,100,2.3
BANKS | KOTAKBANK.NS/INDUSINDBK.NS,82,58.5,0.52,,46,54.3,-0.29,,20,55,0.1,,7,42.9,-0.69
BANKS | KOTAKBANK.NS/SBIN.NS,90,66.7,0.78,,40,57.5,0.16,,18,50,0,,8,62.5,1.88
BANKS | SBIN.NS/INDUSINDBK.NS,87,56.3,0.13,,56,51.8,0.08,,26,42.3,-0.48,,9,55.6,0.22
METALS | APLAPOLLO.NS/HINDALCO.NS,87,62.1,0.87,,37,64.9,0.93,,14,64.3,0.67,,4,50,-0.35
METALS | APLAPOLLO.NS/HINDCOPPER.NS,100,54,0.72,,45,44.4,0.03,,10,60,1.28,,,,
METALS | APLAPOLLO.NS/HINDZINC.NS,95,52.6,0.3,,45,46.7,-0.19,,20,35,-0.68,,4,25,-1.08
METALS | APLAPOLLO.NS/JINDALSTEL.NS,90,56.7,0.72,,43,65.1,1.72,,10,50,0.87,,2,0,-4
METALS | APLAPOLLO.NS/JSL.NS,95,53.7,0.72,,49,49,0.21,,17,70.6,1.95,,1,0,-4
METALS | APLAPOLLO.NS/JSWSTEEL.NS,92,65.2,1.04,,43,58.1,0.78,,13,61.5,1.05,,2,0,-4
METALS | APLAPOLLO.NS/LLOYDSME.NS,23,52.2,-0.14,,8,62.5,0.13,,3,66.7,1.28,,,,
METALS | APLAPOLLO.NS/NATIONALUM.NS,97,50.5,0.33,,45,60,1.58,,10,60,2.41,,3,66.7,2.83
METALS | APLAPOLLO.NS/NMDC.NS,96,49,-0.05,,42,38.1,-0.72,,18,38.9,-0.53,,5,20,-1.6
METALS | APLAPOLLO.NS/SAIL.NS,88,56.8,0.68,,43,55.8,0.72,,14,71.4,2.25,,3,100,4.17
METALS | APLAPOLLO.NS/TATASTEEL.NS,85,55.3,0.5,,44,59.1,0.73,,10,50,0.26,,,,
METALS | APLAPOLLO.NS/VEDL.NS,89,55.1,0.83,,46,56.5,0.74,,16,50,0.36,,4,50,0.61
METALS | APLAPOLLO.NS/WELCORP.NS,94,56.4,0.91,,42,59.5,1.58,,13,53.8,1.28,,4,50,2
METALS | HINDALCO.NS/HINDCOPPER.NS,87,48.3,-0.12,,47,59.6,0.95,,16,18.8,-2.39,,5,80,0.77
METALS | HINDALCO.NS/HINDZINC.NS,91,67,0.87,,43,69.8,1.01,,11,54.5,0.03,,3,66.7,0.11
METALS | HINDALCO.NS/JINDALSTEL.NS,89,58.4,0.27,,48,54.2,0.2,,14,35.7,-0.91,,7,71.4,2.14
METALS | HINDALCO.NS/JSL.NS,94,54.3,0.58,,42,47.6,0.3,,12,41.7,-0.65,,5,20,-2.79
METALS | HINDALCO.NS/JSWSTEEL.NS,77,67.5,0.4,,31,64.5,0.72,,10,60,-0.01,,3,66.7,0.31
METALS | HINDALCO.NS/LLOYDSME.NS,26,42.3,-0.27,,8,62.5,1.22,,2,50,0.04,,,,
METALS | HINDALCO.NS/NATIONALUM.NS,82,63.4,0.5,,40,60,0.55,,15,66.7,1.45,,4,75,2.91
METALS | HINDALCO.NS/NMDC.NS,91,58.2,0.28,,39,56.4,0.52,,13,53.8,-0.09,,2,0,-4
METALS | HINDALCO.NS/SAIL.NS,86,64,0.7,,42,57.1,0.28,,14,35.7,-1.35,,5,80,2.22
METALS | HINDALCO.NS/TATASTEEL.NS,72,66.7,0.58,,33,54.5,0.07,,14,64.3,1.08,,5,60,0.56
